Tabelle: 1000A-0000
Personen: Bevölkerungszahl;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;
;;;;15.05.2022;
DG;Deutschland;Personen;Anzahl;82719540;e
01;Schleswig-Holstein;Personen;Anzahl;2927542;e
02;Hamburg;Personen;Anzahl;1808846;e
03;Niedersachsen;Personen;Anzahl;7943265;e
04;Bremen;Personen;Anzahl;693204;e
05;Nordrhein-Westfalen;Personen;Anzahl;17890489;e
06;Hessen;Personen;Anzahl;6207278;e
07;Rheinland-Pfalz;Personen;Anzahl;4094169;e
08;Baden-Württemberg;Personen;Anzahl;11104040;e
09;Bayern;Personen;Anzahl;13038724;e
10;Saarland;Personen;Anzahl;1006864;e
11;Berlin;Personen;Anzahl;3596999;e
12;Brandenburg;Personen;Anzahl;2534075;e
13;Mecklenburg-Vorpommern;Personen;Anzahl;1570817;e
14;Sachsen;Personen;Anzahl;4038131;e
15;Sachsen-Anhalt;Personen;Anzahl;2146443;e
16;Thüringen;Personen;Anzahl;2110396;e
__________
"Nachrichtlich aus dem Gemeindeverzeichnis GV-ISys:
Gemeindefläche zum 31.12.2011. Bei Gebietsneugliederungen
nach dem Zensusstichtag (9. Mai 2011) Fläche zum
31.12.2010. Die Angaben dienen zur Berechnung der
Bevölkerungsdichte der Gemeinden. 
Da nur bewohnte Gebiete nachgewiesen werden, ergibt sich
nicht die vollständige Kreis-, Landes oder Bundessumme. 
Die Angaben unterliegen keiner datenverändernden
Geheimhaltung.

Die Bevölkerungsdichte berechnet sich durch Division der
Einwohnerzahl durch die Fläche und wird in Einwohner pro
km² ausgegeben. Dabei wird die Amtliche Einwohnerzahl aus
dem Zensus und die Fläche aus dem Gemeindeverzeichnis
GV-ISys zur Berechnung verwendet.
Die Angaben unterliegen keiner datenverändernden
Geheimhaltung."
© Statistische Ämter des Bundes und der Länder, Deutschland, 2024. Lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0
Stand: 28.07.2024 / 15:07:44
