Tabelle: 1000A-0000
Personen: Bevölkerungszahl;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;
;;;;15.05.2022;
DG;Deutschland;Personen;Anzahl;82719540;e
010010000000;Flensburg, Stadt;Personen;Anzahl;95015;e
010020000000;Kiel, Landeshauptstadt;Personen;Anzahl;249132;e
010030000000;Lübeck, Hansestadt;Personen;Anzahl;215958;e
010040000000;Neumünster, Stadt;Personen;Anzahl;79625;e
010510011011;Brunsbüttel, Stadt;Personen;Anzahl;12573;e
010510044044;Heide, Stadt;Personen;Anzahl;21487;e
010515163003;Averlak;Personen;Anzahl;568;e
010515163010;Brickeln;Personen;Anzahl;191;e
010515163012;Buchholz (Kreis Dithmarschen);Personen;Anzahl;1001;e
010515163016;Burg (Dithmarschen);Personen;Anzahl;4150;e
010515163022;Dingen;Personen;Anzahl;648;e
010515163024;Eddelak;Personen;Anzahl;1330;e
010515163026;Eggstedt;Personen;Anzahl;761;e
010515163032;Frestedt;Personen;Anzahl;337;e
010515163037;Großenrade;Personen;Anzahl;482;e
010515163051;Hochdonn;Personen;Anzahl;1124;e
010515163064;Kuden;Personen;Anzahl;622;e
010515163089;Quickborn;Personen;Anzahl;188;e
010515163097;Sankt Michaelisdonn;Personen;Anzahl;3539;e
010515163110;Süderhastedt;Personen;Anzahl;771;e
010515166021;Diekhusen-Fahrstedt;Personen;Anzahl;675;e
010515166034;Friedrichskoog;Personen;Anzahl;2403;e
010515166046;Helse;Personen;Anzahl;800;e
010515166057;Kaiser-Wilhelm-Koog;Personen;Anzahl;356;e
010515166062;Kronprinzenkoog;Personen;Anzahl;833;e
010515166072;Marne, Stadt;Personen;Anzahl;5766;e
010515166073;Marnerdeich;Personen;Anzahl;395;e
010515166076;Neufeld;Personen;Anzahl;613;e
010515166077;Neufelderkoog;Personen;Anzahl;116;e
010515166090;Ramhusen;Personen;Anzahl;160;e
010515166103;Schmedeswurth;Personen;Anzahl;174;e
010515166118;Trennewurth;Personen;Anzahl;229;e
010515166119;Volsemenhusen;Personen;Anzahl;328;e
010515169005;Barkenholm;Personen;Anzahl;177;e
010515169008;Bergewöhrden;Personen;Anzahl;35;e
010515169019;Dellstedt;Personen;Anzahl;718;e
010515169020;Delve;Personen;Anzahl;760;e
010515169023;Dörpling;Personen;Anzahl;637;e
010515169030;Fedderingen;Personen;Anzahl;265;e
010515169035;Gaushorn;Personen;Anzahl;175;e
010515169036;Glüsing;Personen;Anzahl;107;e
010515169038;Groven;Personen;Anzahl;90;e
010515169047;Hemme;Personen;Anzahl;499;e
010515169049;Hennstedt (Kreis Dithmarschen);Personen;Anzahl;2071;e
010515169052;Hövede;Personen;Anzahl;64;e
010515169053;Hollingstedt (Kreis Dithmarschen);Personen;Anzahl;304;e
010515169058;Karolinenkoog;Personen;Anzahl;132;e
010515169060;Kleve (Kreis Dithmarschen);Personen;Anzahl;413;e
010515169061;Krempel;Personen;Anzahl;600;e
010515169065;Lehe (Kreis Dithmarschen);Personen;Anzahl;1092;e
010515169068;Linden (Kreis Dithmarschen);Personen;Anzahl;874;e
010515169071;Lunden;Personen;Anzahl;1727;e
010515169080;Norderheistedt;Personen;Anzahl;131;e
010515169088;Pahlen;Personen;Anzahl;1171;e
010515169092;Rehm-Flehde-Bargen;Personen;Anzahl;539;e
010515169096;Sankt Annen;Personen;Anzahl;311;e
010515169100;Schalkholz;Personen;Anzahl;578;e
010515169102;Schlichting;Personen;Anzahl;243;e
010515169114;Tellingstedt;Personen;Anzahl;2673;e
010515169117;Tielenhemme;Personen;Anzahl;156;e
010515169120;Wallen;Personen;Anzahl;33;e
010515169125;Welmbüttel;Personen;Anzahl;406;e
010515169131;Westerborstel;Personen;Anzahl;117;e
010515169133;Wiemerstedt;Personen;Anzahl;152;e
010515169136;Wrohm;Personen;Anzahl;741;e
010515169139;Süderdorf;Personen;Anzahl;362;e
010515169141;Süderheistedt;Personen;Anzahl;548;e
010515172048;Hemmingstedt;Personen;Anzahl;2860;e
010515172067;Lieth;Personen;Anzahl;381;e
010515172069;Lohe-Rickelshof;Personen;Anzahl;2040;e
010515172075;Neuenkirchen (Kreis Dithmarschen);Personen;Anzahl;934;e
010515172081;Norderwöhrden;Personen;Anzahl;262;e
010515172082;Nordhastedt;Personen;Anzahl;2803;e
010515172087;Ostrohe;Personen;Anzahl;867;e
010515172107;Stelle-Wittenwurth;Personen;Anzahl;460;e
010515172113;Wöhrden;Personen;Anzahl;1165;e
010515172122;Weddingstedt;Personen;Anzahl;2371;e
010515172130;Wesseln;Personen;Anzahl;1368;e
010515175001;Albersdorf (Kreis Dithmarschen);Personen;Anzahl;3717;e
010515175002;Arkebek;Personen;Anzahl;227;e
010515175004;Bargenstedt;Personen;Anzahl;920;e
010515175006;Barlt;Personen;Anzahl;763;e
010515175015;Bunsoh;Personen;Anzahl;771;e
010515175017;Busenwurth;Personen;Anzahl;308;e
010515175027;Elpersbüttel;Personen;Anzahl;851;e
010515175028;Epenwöhrden;Personen;Anzahl;766;e
010515175039;Gudendorf;Personen;Anzahl;428;e
010515175054;Immenstedt (Kreis Dithmarschen);Personen;Anzahl;106;e
010515175063;Krumstedt;Personen;Anzahl;496;e
010515175074;Meldorf, Stadt;Personen;Anzahl;7180;e
010515175078;Nindorf (Kreis Dithmarschen);Personen;Anzahl;1095;e
010515175083;Odderade;Personen;Anzahl;325;e
010515175085;Offenbüttel;Personen;Anzahl;263;e
010515175086;Osterrade;Personen;Anzahl;412;e
010515175098;Sarzbüttel;Personen;Anzahl;707;e
010515175099;Schafstedt;Personen;Anzahl;1280;e
010515175104;Schrum;Personen;Anzahl;74;e
010515175126;Wennbüttel;Personen;Anzahl;103;e
010515175134;Windbergen;Personen;Anzahl;773;e
010515175135;Wolmersdorf;Personen;Anzahl;318;e
010515175137;Nordermeldorf;Personen;Anzahl;589;e
010515175138;Tensbüttel-Röst;Personen;Anzahl;647;e
010515178013;Büsum;Personen;Anzahl;4911;e
010515178014;Büsumer Deichhausen;Personen;Anzahl;343;e
010515178033;Friedrichsgabekoog;Personen;Anzahl;52;e
010515178043;Hedwigenkoog;Personen;Anzahl;218;e
010515178045;Hellschen-Heringsand-Unterschaar;Personen;Anzahl;164;e
010515178050;Hillgroven;Personen;Anzahl;57;e
010515178079;Norddeich;Personen;Anzahl;434;e
010515178084;Oesterdeichstrich;Personen;Anzahl;310;e
010515178093;Reinsbüttel;Personen;Anzahl;389;e
010515178105;Schülp;Personen;Anzahl;369;e
010515178108;Strübbel;Personen;Anzahl;95;e
010515178109;Süderdeich;Personen;Anzahl;435;e
010515178121;Warwerort;Personen;Anzahl;226;e
010515178127;Wesselburen, Stadt;Personen;Anzahl;3346;e
010515178128;Wesselburener Deichhausen;Personen;Anzahl;107;e
010515178129;Wesselburenerkoog;Personen;Anzahl;165;e
