Tabelle: 1000A-0000
Personen: Bevölkerungszahl;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;
;;;;15.05.2022;
DG;Deutschland;Personen;Anzahl;82719540;e
01001;Flensburg, Stadt;Personen;Anzahl;95015;e
01002;Kiel, Landeshauptstadt;Personen;Anzahl;249132;e
01003;Lübeck, Hansestadt;Personen;Anzahl;215958;e
01004;Neumünster, Stadt;Personen;Anzahl;79625;e
01051;Dithmarschen;Personen;Anzahl;132810;e
01053;Herzogtum Lauenburg;Personen;Anzahl;203381;e
01054;Nordfriesland;Personen;Anzahl;168489;e
01055;Ostholstein;Personen;Anzahl;200936;e
01056;Pinneberg;Personen;Anzahl;320275;e
01057;Plön;Personen;Anzahl;129634;e
01058;Rendsburg-Eckernförde;Personen;Anzahl;275744;e
01059;Schleswig-Flensburg;Personen;Anzahl;203169;e
01060;Segeberg;Personen;Anzahl;277323;e
01061;Steinburg;Personen;Anzahl;131002;e
01062;Stormarn;Personen;Anzahl;245049;e
02000;Hamburg, Freie und Hansestadt;Personen;Anzahl;1808846;e
03101;Braunschweig, Stadt;Personen;Anzahl;252816;e
03102;Salzgitter, Stadt;Personen;Anzahl;104215;e
03103;Wolfsburg, Stadt;Personen;Anzahl;127145;e
03151;Gifhorn;Personen;Anzahl;174662;e
03153;Goslar;Personen;Anzahl;127606;e
03154;Helmstedt;Personen;Anzahl;90546;e
03155;Northeim;Personen;Anzahl;126230;e
03157;Peine;Personen;Anzahl;136119;e
03158;Wolfenbüttel;Personen;Anzahl;117702;e
03159;Göttingen;Personen;Anzahl;325699;e
03241;Region Hannover;Personen;Anzahl;1129158;e
03251;Diepholz;Personen;Anzahl;218256;e
03252;Hameln-Pyrmont;Personen;Anzahl;150288;e
03254;Hildesheim;Personen;Anzahl;267027;e
03255;Holzminden;Personen;Anzahl;66159;e
03256;Nienburg (Weser);Personen;Anzahl;120611;e
03257;Schaumburg;Personen;Anzahl;156414;e
03351;Celle;Personen;Anzahl;172308;e
03352;Cuxhaven;Personen;Anzahl;197983;e
03353;Harburg;Personen;Anzahl;260929;e
03354;Lüchow-Dannenberg;Personen;Anzahl;46637;e
03355;Lüneburg;Personen;Anzahl;176629;e
03356;Osterholz;Personen;Anzahl;113025;e
03357;Rotenburg (Wümme);Personen;Anzahl;163496;e
03358;Heidekreis;Personen;Anzahl;142771;e
03359;Stade;Personen;Anzahl;204623;e
03360;Uelzen;Personen;Anzahl;90540;e
03361;Verden;Personen;Anzahl;136680;e
03401;Delmenhorst, Stadt;Personen;Anzahl;80845;e
03402;Emden, Stadt;Personen;Anzahl;48920;e
03403;Oldenburg (Oldenburg), Stadt;Personen;Anzahl;172759;e
03404;Osnabrück, Stadt;Personen;Anzahl;164898;e
03405;Wilhelmshaven, Stadt;Personen;Anzahl;75366;e
03451;Ammerland;Personen;Anzahl;125961;e
03452;Aurich;Personen;Anzahl;187515;e
03453;Cloppenburg;Personen;Anzahl;175408;e
03454;Emsland;Personen;Anzahl;328946;e
03455;Friesland;Personen;Anzahl;99652;e
03456;Grafschaft Bentheim;Personen;Anzahl;142150;e
03457;Leer;Personen;Anzahl;168710;e
03458;Oldenburg;Personen;Anzahl;130329;e
03459;Osnabrück;Personen;Anzahl;356158;e
03460;Vechta;Personen;Anzahl;145112;e
03461;Wesermarsch;Personen;Anzahl;88613;e
03462;Wittmund;Personen;Anzahl;55649;e
04011;Bremen, Stadt;Personen;Anzahl;575071;e
04012;Bremerhaven, Stadt;Personen;Anzahl;118133;e
05111;Düsseldorf, Stadt;Personen;Anzahl;611258;e
05112;Duisburg, Stadt;Personen;Anzahl;501415;e
05113;Essen, Stadt;Personen;Anzahl;571039;e
05114;Krefeld, Stadt;Personen;Anzahl;230666;e
05116;Mönchengladbach, Stadt;Personen;Anzahl;264089;e
05117;Mülheim an der Ruhr, Stadt;Personen;Anzahl;171435;e
05119;Oberhausen, Stadt;Personen;Anzahl;212127;e
05120;Remscheid, Stadt;Personen;Anzahl;113743;e
05122;Solingen, Klingenstadt;Personen;Anzahl;164621;e
05124;Wuppertal, Stadt;Personen;Anzahl;356768;e
05154;Kleve;Personen;Anzahl;315361;e
05158;Mettmann;Personen;Anzahl;488128;e
05162;Rhein-Kreis Neuss;Personen;Anzahl;454412;e
05166;Viersen;Personen;Anzahl;294485;e
05170;Wesel;Personen;Anzahl;453093;e
05314;Bonn, Stadt;Personen;Anzahl;321544;e
05315;Köln, Stadt;Personen;Anzahl;1017355;e
05316;Leverkusen, Stadt;Personen;Anzahl;166356;e
05334;Städteregion Aachen;Personen;Anzahl;577572;e
05358;Düren;Personen;Anzahl;275392;e
05362;Rhein-Erft-Kreis;Personen;Anzahl;471257;e
05366;Euskirchen;Personen;Anzahl;197836;e
05370;Heinsberg;Personen;Anzahl;258975;e
05374;Oberbergischer Kreis;Personen;Anzahl;272744;e
05378;Rheinisch-Bergischer Kreis;Personen;Anzahl;282677;e
05382;Rhein-Sieg-Kreis;Personen;Anzahl;600286;e
05512;Bottrop, Stadt;Personen;Anzahl;117921;e
05513;Gelsenkirchen, Stadt;Personen;Anzahl;264130;e
05515;Münster, Stadt;Personen;Anzahl;303772;e
05554;Borken;Personen;Anzahl;374418;e
05558;Coesfeld;Personen;Anzahl;222953;e
05562;Recklinghausen;Personen;Anzahl;618350;e
05566;Steinfurt;Personen;Anzahl;443690;e
05570;Warendorf;Personen;Anzahl;279209;e
05711;Bielefeld, Stadt;Personen;Anzahl;330072;e
05754;Gütersloh;Personen;Anzahl;359571;e
05758;Herford;Personen;Anzahl;254008;e
05762;Höxter;Personen;Anzahl;138447;e
05766;Lippe;Personen;Anzahl;348030;e
05770;Minden-Lübbecke;Personen;Anzahl;319456;e
05774;Paderborn;Personen;Anzahl;313102;e
05911;Bochum, Stadt;Personen;Anzahl;354288;e
05913;Dortmund, Stadt;Personen;Anzahl;598246;e
05914;Hagen, Stadt der FernUniversität;Personen;Anzahl;189614;e
05915;Hamm, Stadt;Personen;Anzahl;179070;e
05916;Herne, Stadt;Personen;Anzahl;155446;e
