regkey;name;population;level
010000000000;Schleswig-Holstein;2927542;bundesland
010010000000;Stadt Flensburg;95015;kreis
010010000000;Stadt Flensburg;95015;gemeinde
010020000000;Landeshauptstadt Kiel;249132;kreis
010020000000;Landeshauptstadt Kiel;249132;gemeinde
010030000000;Hansestadt Lübeck;215958;kreis
010030000000;Hansestadt Lübeck;215958;gemeinde
010040000000;Stadt Neumünster;79625;kreis
010040000000;Stadt Neumünster;79625;gemeinde
010510000000;Dithmarschen;132810;kreis
010510011011;Stadt Brunsbüttel;12573;gemeinde
010510044044;Stadt Heide;21487;gemeinde
010515163003;Averlak;568;gemeinde
010515163010;Brickeln;191;gemeinde
010515163012;Buchholz (Kreis Dithmarschen);1001;gemeinde
010515163016;Burg (Dithmarschen);4150;gemeinde
010515163022;Dingen;648;gemeinde
010515163024;Eddelak;1330;gemeinde
010515163026;Eggstedt;761;gemeinde
010515163032;Frestedt;337;gemeinde
010515163037;Großenrade;482;gemeinde
010515163051;Hochdonn;1124;gemeinde
010515163064;Kuden;622;gemeinde
010515163089;Quickborn;188;gemeinde
010515163097;Sankt Michaelisdonn;3539;gemeinde
010515163110;Süderhastedt;771;gemeinde
010515166021;Diekhusen-Fahrstedt;675;gemeinde
010515166034;Friedrichskoog;2403;gemeinde
010515166046;Helse;800;gemeinde
010515166057;Kaiser-Wilhelm-Koog;356;gemeinde
010515166062;Kronprinzenkoog;833;gemeinde
010515166072;Stadt Marne;5766;gemeinde
010515166073;Marnerdeich;395;gemeinde
010515166076;Neufeld;613;gemeinde
010515166077;Neufelderkoog;116;gemeinde
010515166090;Ramhusen;160;gemeinde
010515166103;Schmedeswurth;174;gemeinde
010515166118;Trennewurth;229;gemeinde
010515166119;Volsemenhusen;328;gemeinde
010515169005;Barkenholm;177;gemeinde
010515169008;Bergewöhrden;35;gemeinde
010515169019;Dellstedt;718;gemeinde
010515169020;Delve;760;gemeinde
010515169023;Dörpling;637;gemeinde
010515169030;Fedderingen;265;gemeinde
010515169035;Gaushorn;175;gemeinde
010515169036;Glüsing;107;gemeinde
010515169038;Groven;90;gemeinde
010515169047;Hemme;499;gemeinde
010515169049;Hennstedt (Kreis Dithmarschen);2071;gemeinde
010515169052;Hövede;64;gemeinde
010515169053;Hollingstedt (Kreis Dithmarschen);304;gemeinde
010515169058;Karolinenkoog;132;gemeinde
010515169060;Kleve (Kreis Dithmarschen);413;gemeinde
010515169061;Krempel;600;gemeinde
010515169065;Lehe (Kreis Dithmarschen);1092;gemeinde
010515169068;Linden (Kreis Dithmarschen);874;gemeinde
010515169071;Lunden;1727;gemeinde
010515169080;Norderheistedt;131;gemeinde
010515169088;Pahlen;1171;gemeinde
010515169092;Rehm-Flehde-Bargen;539;gemeinde
010515169096;Sankt Annen;311;gemeinde
010515169100;Schalkholz;578;gemeinde
010515169102;Schlichting;243;gemeinde
010515169114;Tellingstedt;2673;gemeinde
010515169117;Tielenhemme;156;gemeinde
010515169120;Wallen;33;gemeinde
010515169125;Welmbüttel;406;gemeinde
010515169131;Westerborstel;117;gemeinde
010515169133;Wiemerstedt;152;gemeinde
010515169136;Wrohm;741;gemeinde
010515169139;Süderdorf;362;gemeinde
010515169141;Süderheistedt;548;gemeinde
010515172048;Hemmingstedt;2860;gemeinde
010515172067;Lieth;381;gemeinde
010515172069;Lohe-Rickelshof;2040;gemeinde
010515172075;Neuenkirchen (Kreis Dithmarschen);934;gemeinde
010515172081;Norderwöhrden;262;gemeinde
010515172082;Nordhastedt;2803;gemeinde
010515172087;Ostrohe;867;gemeinde
010515172107;Stelle-Wittenwurth;460;gemeinde
010515172113;Wöhrden;1165;gemeinde
010515172122;Weddingstedt;2371;gemeinde
010515172130;Wesseln;1368;gemeinde
010515175001;Albersdorf (Kreis Dithmarschen);3717;gemeinde
010515175002;Arkebek;227;gemeinde
010515175004;Bargenstedt;920;gemeinde
010515175006;Barlt;763;gemeinde
010515175015;Bunsoh;771;gemeinde
010515175017;Busenwurth;308;gemeinde
010515175027;Elpersbüttel;851;gemeinde
010515175028;Epenwöhrden;766;gemeinde
010515175039;Gudendorf;428;gemeinde
010515175054;Immenstedt (Kreis Dithmarschen);106;gemeinde
010515175063;Krumstedt;496;gemeinde
010515175074;Stadt Meldorf;7180;gemeinde
010515175078;Nindorf (Kreis Dithmarschen);1095;gemeinde
010515175083;Odderade;325;gemeinde
010515175085;Offenbüttel;263;gemeinde
010515175086;Osterrade;412;gemeinde
010515175098;Sarzbüttel;707;gemeinde
010515175099;Schafstedt;1280;gemeinde
010515175104;Schrum;74;gemeinde
010515175126;Wennbüttel;103;gemeinde
010515175134;Windbergen;773;gemeinde
010515175135;Wolmersdorf;318;gemeinde
010515175137;Nordermeldorf;589;gemeinde
010515175138;Tensbüttel-Röst;647;gemeinde
010515178013;Büsum;4911;gemeinde
010515178014;Büsumer Deichhausen;343;gemeinde
010515178033;Friedrichsgabekoog;52;gemeinde
010515178043;Hedwigenkoog;218;gemeinde
010515178045;Hellschen-Heringsand-Unterschaar;164;gemeinde
010515178050;Hillgroven;57;gemeinde
010515178079;Norddeich;434;gemeinde
010515178084;Oesterdeichstrich;310;gemeinde
010515178093;Reinsbüttel;389;gemeinde
010515178105;Schülp;369;gemeinde
010515178108;Strübbel;95;gemeinde
010515178109;Süderdeich;435;gemeinde
010515178121;Warwerort;226;gemeinde
010515178127;Stadt Wesselburen;3346;gemeinde
010515178128;Wesselburener Deichhausen;107;gemeinde
010515178129;Wesselburenerkoog;165;gemeinde
010515178132;Westerdeichstrich;797;gemeinde
010515178140;Oesterwurth;241;gemeinde
010530000000;Herzogtum Lauenburg;203381;kreis
010530032032;Stadt Geesthacht;32343;gemeinde
010530083083;Stadt Lauenburg/ Elbe;11395;gemeinde
010530090090;Stadt Mölln;19392;gemeinde
010530100100;Stadt Ratzeburg;14873;gemeinde
010530116116;Stadt Schwarzenbek;16889;gemeinde
010530129129;Wentorf bei Hamburg;13524;gemeinde
010535308008;Behlendorf;405;gemeinde
010535308009;Berkenthin;2171;gemeinde
010535308011;Bliestorf;631;gemeinde
010535308024;Düchelsdorf;154;gemeinde
010535308034;Göldenitz;231;gemeinde
010535308061;Kastorf;1165;gemeinde
010535308067;Klempau;597;gemeinde
010535308075;Krummesse;1629;gemeinde
010535308094;Niendorf bei Berkenthin;193;gemeinde
010535308103;Rondeshagen;794;gemeinde
010535308120;Sierksrade;441;gemeinde
010535313002;Alt-Mölln;851;gemeinde
010535313005;Bälau;225;gemeinde
010535313013;Borstorf;315;gemeinde
010535313014;Breitenfelde;2099;gemeinde
010535313037;Grambek;534;gemeinde
010535313056;Hornbek;226;gemeinde
010535313084;Lehmrade;591;gemeinde
010535313095;Niendorf/ Stecknitz;697;gemeinde
010535313113;Schretstaken;512;gemeinde
010535313125;Talkau;543;gemeinde
010535313134;Woltersdorf (Kreis Herzogtum Lauenburg);350;gemeinde
010535318010;Besenthal;92;gemeinde
010535318015;Bröthen;330;gemeinde
010535318020;Büchen;6366;gemeinde
010535318029;Fitzen;386;gemeinde
010535318035;Göttin;61;gemeinde
010535318046;Gudow;1745;gemeinde
010535318048;Güster;1296;gemeinde
010535318064;Klein Pampau;679;gemeinde
010535318080;Langenlehsten;173;gemeinde
010535318092;Müssen;1233;gemeinde
010535318104;Roseburg;544;gemeinde
010535318115;Schulendorf;452;gemeinde
010535318119;Siebeneichen;269;gemeinde
010535318126;Tramm (Kreis Herzogtum Lauenburg);323;gemeinde
010535318132;Witzeeze;917;gemeinde
010535323003;Aumühle;3200;gemeinde
010535323012;Börnsen;4773;gemeinde
010535323023;Dassendorf;3465;gemeinde
010535323028;Escheburg;3496;gemeinde
010535323050;Hamwarde;883;gemeinde
010535323053;Hohenhorn;537;gemeinde
010535323072;Kröppelshagen-Fahrendorf;1423;gemeinde
010535323131;Wiershop;212;gemeinde
010535323133;Wohltorf;2579;gemeinde
010535323135;Worth;170;gemeinde
010535343006;Basedow (Kreis Herzogtum Lauenburg);633;gemeinde
010535343019;Buchhorst;147;gemeinde
010535343022;Dalldorf;354;gemeinde
010535343058;Juliusburg;183;gemeinde
010535343073;Krüzen;358;gemeinde
010535343074;Krukow (Kreis Herzogtum Lauenburg);162;gemeinde
010535343082;Lanze;268;gemeinde
010535343087;Lütau;696;gemeinde
010535343111;Schnakenbek;912;gemeinde
010535343128;Wangelau;210;gemeinde
010535358001;Albsfelde;74;gemeinde
010535358004;Bäk;919;gemeinde
010535358016;Brunsmark;156;gemeinde
010535358018;Buchholz (Kreis Herzogtum Lauenburg);252;gemeinde
010535358026;Einhaus;447;gemeinde
010535358030;Fredeburg;47;gemeinde
