regionID,zipCode,city,lat,lon
1,40297,SANCHONUÑO,41.3232,-4.3053
2,25220,BELL-LLOCH,41.6333,0.7833
3,45695,ALBERCHE DEL CAUDILLO,39.9189,-4.6801
4,10335,PERALEDA DE LA MATA,39.8529,-5.4606
5,1009,VITORIA-GASTEIZ,42.85,-2.6727
6,10530,SERRADILLA,39.8292,-6.1403
7,27310,SAN CLODIO,42.4225,-7.3047
8,26230,CASALARREINA,42.5491,-2.9099
9,13248,ALHAMBRA,38.8993,-3.0533
10,17700,"JUNQUERA, LA",42.4173,2.8736
11,1300,LAGUARDIA,42.5546,-2.5853
12,50171,"PUEBLA DE ALFINDEN, LA",41.5321,-0.4035
13,50160,LECIÑENA,41.7987,-0.6117
14,22449,CERLER,42.5934,0.5383
15,1160,ARAMAYONA,43.0498,-2.5659
16,43740,MORA DE EBRO,41.0833,0.6333
17,21004,HUELVA,37.2714,-6.9495
18,36500,LALIN,42.8561,-8.2748
19,1200,SALVATIERRA,42.8516,-2.3912
20,1211,PEÑACERRADA,42.6743,-2.7516749999999988
21,15108,LA CORUÑA,43.2258,-8.647884615384614
22,40300,SEPULVEDA,41.297,-3.7422
23,34310,BECERRIL DE CAMPOS,42.1808,-4.594914285714286
24,36208,VIGO,42.2328,-8.7226
25,25440,VINAIXA,41.4333,0.9833
26,26002,LOGROÑO,42.4667,-2.45
27,22004,HUESCA,42.1362,-0.4087
28,40410,SAN RAFAEL,40.7131,-4.1905
29,41002,SEVILLA,37.3824,-5.9761
30,46723,ALMOINES,38.9432,-0.1816
31,9219,AMEYUGO,42.6028,-3.0461750000000003
32,1440,IZARRA,42.9541,-2.9026
33,46389,TURIS,39.3833,-0.7
34,48840,GUEÑES,43.2125,-3.095
35,45650,ESPINOSO DEL REY,39.6533,-4.7837
36,50529,FUENDEJALON,41.7605,-1.4552666666666667
37,2004,ALBACETE,38.9942,-1.8564
38,21890,MANZANILLA,37.3899,-6.433
39,2100,TARAZONA DE LA MANCHA,39.25,-1.9167
40,24500,VILLAFRANCA DEL BIERZO,42.606,-6.8107
41,2120,PEÑAS DE SAN PEDRO,38.7288,-2.005
42,2125,AYNA,38.55,-2.1022
43,49622,QUIRUELAS DE VIDRIALES,42.0329,-5.8772400000000005
44,46360,BUÑOL,39.4167,-0.7833
45,33100,TRUBIA,43.3377,-5.994
46,2150,VALDEGANGA,39.1351,-1.6769999999999998
47,37338,VILLORUELA,41.0086,-5.3938
48,33199,GRANDA (SIERO),43.2538,-5.760880952380954
49,2249,BORMATE,39.1833,-1.5388833333333334
50,31520,CASCANTE,41.9977,-1.681
51,42005,SORIA,41.763999999999996,-2.4688
52,2247,CENIZATE,39.3,-1.65
53,46019,VALENCIA,39.4698,-0.3774
54,40194,SAN CRISTOBAL DE SEGOVIA,40.9305,-4.04892
55,48340,AMOREBIETA,43.1942,-2.72568
56,18196,SIERRA NEVADA,37.095,-3.3969
57,24140,VILLASECA DE LACIANA,42.9846,-6.25475
58,2350,VILLAPALACIOS,38.575,-2.6338
59,15999,PORTOSIN (PUERTO DE SON),42.758,-8.9491
60,2400,HELLIN,38.5106,-1.7009999999999998
61,37260,VILLAVIEJA DE YELTES,40.8757,-6.4679
62,2435,SOCOVOS,38.3323,-1.9848
63,43519,PERELLO,40.8667,0.7167
64,41500,ALCALA DE GUADAIRA,37.3379,-5.8395
65,39610,"ASTILLERO, EL",43.4009,-3.8205
66,30009,MURCIA,37.986999999999995,-1.13
67,39709,SAMANO,43.3599,-3.2215
68,49300,PUEBLA DE SANABRIA,42.053999999999995,-6.6335
69,16611,CASAS DE HARO,39.3335,-2.2727
70,50259,ARANDA DE MONCAYO,41.5775,-1.81635
71,50740,FUENTES DE EBRO,41.5125,-0.6316
72,25179,MAYALS,41.3667,0.5
73,15148,AGUALADA (CORISTANCO),43.2,-8.76
74,2653,ALBATANA,38.5706,-1.5221
75,2690,ALPERA,38.9667,-1.2167
76,49137,VILLARRÍN DE CAMPOS,41.7952,-5.638999999999999
77,2693,CORRAL-RUBIO,38.8346,-1.4303
78,16700,SISANTE,39.4085,-2.2017
79,45890,CABEZAMESADA,39.8163,-3.1024
80,31830,LAKUNTZA,42.9225,-2.0234
81,15379,CURTIS (ESTACION),43.3218,-8.1063
82,43782,VILLALBA DE LOS ARCOS,41.1167,0.4167
83,45749,VILLAMUELAS,39.8178,-3.7346
84,24690,BUSDONGO,42.9833,-5.7
85,23210,GUARROMAN,38.1828,-3.687
86,32340,VILLAMARTIN DE VALDEORRAS,42.4343,-7.048299999999999
87,33830,BELMONTE DE MIRANDA,43.2825,-6.2182
88,3690,SAN VICENTE DEL RASPEIG,38.3964,-0.5255
89,45770,ROMERAL (EL),39.7074,-3.4338
90,28024,MADRID,40.4165,-3.7026
91,3114,ALICANTE,38.3199,-0.5584
92,44300,MONREAL DEL CAMPO,40.788000000000004,-1.3554
93,45940,VALMOJADO,40.2044,-4.0915
94,15110,PUENTECESO,43.25,-8.900000000000004
95,15530,CERDIDO,43.6167,-8.0
96,41340,TOCINA,37.609,-5.734
