warehouseID,city,fixedCosts,lat,lon
1,Vitoria,1344000,42.8465088,-2.6724025
2,Albacete,2580000,38.9890121,-1.8548699
3,Alicante,4572000,38.353738,-0.4901846
4,Almeria,2580000,36.8414197,-2.4628135
5,Avila,1344000,40.656478,-4.7002172
8,Barcelona,15012000,41.3828939,2.1774322
9,Burgos,1344000,42.343926,-3.696977
10,Caceres,2580000,39.4745175,-6.3716761
13,Ciudad real,1344000,38.95975095,-3.8828283392159584
14,Cordoba,2580000,37.8845813,-4.7760138
15,La coruña,4572000,43.3712091,-8.3958768
16,Cuenca,1344000,40.0681156,-2.1348241
17,Gerona,1344000,41.9793006,2.8199439
18,Granada,2580000,37.183054,-3.6021928
19,Guadalajara,1344000,40.7399963,-2.505930025884726
20,San sebastian,2580000,43.3224219,-1.9838889
21,Huelva,1344000,37.2575874,-6.9484945
22,Huesca,1344000,42.13606145,-0.029802662719165485
23,Jaen,1344000,37.9557275,-3.492055612037218
24,Leon,1344000,42.63414505,-5.971415104539984
25,Lerida,2580000,41.6147605,0.6267842
26,La rioja,2580000,42.3285528,-2.4674917
27,Lugo,1344000,43.0462247,-7.4739921
28,Madrid,35904000,40.4167047,-3.7035825
31,Navarra,1344000,42.61254875,-1.830787682991546
32,Orense,1344000,42.1968459,-7.6114105
33,Oviedo,4572000,43.3533424,-5.879514339526834
34,Palencia,1344000,42.409632200000004,-4.616100410293067
36,Pontevedra,2580000,42.6075172,-8.4714942
37,Salamanca,2580000,40.9651572,-5.6640182
39,Santander,2580000,43.4620412,-3.8099719
40,Segovia,1344000,40.9502159,-4.1241494
41,Sevilla,4572000,37.3886303,-5.9953403
42,Soria,1344000,41.60125045,-2.721938035449954
43,Tarragona,2580000,41.1172364,1.2546057
44,Teruel,1344000,40.6005512,-0.9229451145789176
45,Toledo,2580000,39.8560679,-4.0239568
46,Valencia,4572000,39.4697065,-0.3763353
47,Valladolid,2580000,41.6521328,-4.728562
48,Bilbao,4572000,43.2630051,-2.9349915
49,Zamora,1344000,41.6857693,-5.942315018340977
50,Zaragoza,2580000,41.6521342,-0.8809428
